bin,doitt_id,created_date,last_edited_date,planimetrics_height
5158269,1286406,2018-08-27,2018-08-27,36.87680348
5166020,1286445,2018-08-28,2018-08-28,30.54170341
5166021,1286446,2018-08-28,2018-08-28,29.38684219
5166022,1286448,2018-08-28,2018-08-28,29.82995848
5084328,1285851,2018-07-26,2018-07-26,36.26524482
5164385,1287488,2018-10-29,2018-10-29,42.36109851
5164386,1287489,2018-10-29,2018-10-29,19.2265182
5158811,1287503,2018-10-30,2018-10-30,32.39039224
5158812,1287506,2018-10-30,2018-10-30,32.72680484
5158810,1287507,2018-10-30,2018-10-30,35.91847569
5166849,1287508,2018-10-30,2018-10-30,31.08744789
5166855,1287509,2018-10-30,2018-10-30,35.97872153
5166848,1287510,2018-10-30,2018-10-30,37.81607002
5166854,1287511,2018-10-30,2018-10-30,30.69425708
5166853,1287512,2018-10-30,2018-10-30,34.13240746
5166852,1287513,2018-10-30,2018-10-30,34.38711171
5166851,1287514,2018-10-30,2018-10-30,33.5140644
5166850,1287515,2018-10-30,2018-10-30,35.87734166
5164890,1287517,2018-10-30,2018-10-30,35.63399112
5142134,1286794,2018-09-19,2021-06-07,30.79250647
5164546,1288243,2019-01-17,2021-06-07,31.65451884
5164547,1288245,2019-01-17,2021-06-07,32.5411577
5142117,1288246,2019-01-17,2021-06-07,31.92743975
5164540,1288247,2019-01-17,2021-06-07,32.05955916
5164539,1288248,2019-01-17,2021-06-07,31.43020339
5172075,1294645,2021-06-09,2021-06-21,31.14857132
5171969,1285181,2018-06-19,2021-06-25,35.74634691
5158769,1285615,2018-07-09,2018-07-09,27.02132646
5162677,1285616,2018-07-09,2018-07-09,16.84580721
5164888,1287519,2018-10-30,2018-10-30,34.9477767
5164889,1287521,2018-10-30,2018-10-30,35.20509234
5164887,1287522,2018-10-30,2018-10-30,35.40852495
5166660,154732,,2019-12-05,31.24998593
5154837,1288240,2019-01-16,2023-03-13,21.1
5157663,1288185,2019-01-03,2019-01-03,34.54065397
5157664,1288186,2019-01-03,2019-01-03,37.21462551
5157665,1288187,2019-01-03,2019-01-03,35.79910878
5157666,1288188,2019-01-03,2019-01-03,36.81396294
5170558,1288189,2019-01-03,2019-01-03,31.43584012
5170557,1288190,2019-01-03,2019-01-03,31.5017406
