BIN,height_roof,update,delta
3023295,0,44,44
3024096,0,44,44
3136008,0,44,44
3251772,0,44,44
3322632,0,44,44
3336224,0,44,44
3403522,0,44,44
3413602,0,44,44
3414006,0,44,44
3425103,0,44,44
3425139,0,44,44
3425353,0,44,44
3425755,0,44,44
3426477,0,44,44
3426899,0,44,44
4596354,0,44,44
4596563,0,44,44
4597019,0,44,44
4618751,0,44,44
5171220,0,44,44
1090427,0,43,43
3010807,0,43,43
3048064,0,43,43
3072876,0,43,43
3398129,0,43,43
3398234,0,43,43
3398577,0,43,43
3424462,0,43,43
3424490,0,43,43
3424968,0,43,43
4010163,0,43,43
4044745,0,43,43
4113936,0,43,43
4594865,0,43,43
4594866,0,43,43
4607892,0,43,43
4618739,0,43,43
4618740,0,43,43
4618743,0,43,43
4618745,0,43,43
4618749,0,43,43
4618753,0,43,43
4618756,0,43,43
5164385,0,43,43
5168749,0,43,43
5169496,0,43,43
5171291,0,43,43
1080207,0,42,42
1090247,0,42,42
3191879,0,42,42
3413686,0,42,42
3413687,0,42,42
3418210,0,42,42
3424594,0,42,42
4006077,0,42,42
4539536,0,42,42
4539537,0,42,42
4539538,0,42,42
4596343,0,42,42
4607341,0,42,42
4607396,0,42,42
4607928,0,42,42
4618434,0,42,42
4618733,0,42,42
4618737,0,42,42
4618738,0,42,42
4618741,0,42,42
4618742,0,42,42
4618744,0,42,42
4618748,0,42,42
4618750,0,42,42
4618752,0,42,42
4618754,0,42,42
4618755,0,42,42
4798017,0,42,42
5015180,0,42,42
5037186,0,42,42
5799505,0,42,42
2077865,0,41,41
2127602,0,41,41
2128712,0,41,41
3400412,0,41,41
3418211,0,41,41
3422546,0,41,41
4307043,0,41,41
4539539,0,41,41
4594868,0,41,41
4596344,0,41,41
4596345,0,41,41
4596383,0,41,41
4596386,0,41,41
4596388,0,41,41
4596389,0,41,41
4596390,0,41,41
4596393,0,41,41
4596399,0,41,41
4611190,0,41,41
4616958,0,41,41
4617615,0,41,41
4618736,0,41,41
5164885,0,41,41
5799515,0,41,41
2077866,0,40,40
2124625,0,40,40
2127514,0,40,40
2128205,0,40,40
3166969,0,40,40
3168526,0,40,40
3399417,0,40,40
4050555,0,40,40
4596293,0,40,40
4596337,0,40,40
4596338,0,40,40
4596387,0,40,40
4596391,0,40,40
4596392,0,40,40
4596397,0,40,40
4596398,0,40,40
4616959,0,40,40
4616960,0,40,40
4617788,0,40,40
5023333,0,40,40
5170536,0,40,40
5171476,0,40,40
1090426,0,39,39
1090864,0,39,39
2127513,0,39,39
3128635,0,39,39
3254425,0,39,39
3346449,0,39,39
3425155,0,39,39
4596927,0,39,39
4607412,0,39,39
4607651,0,39,39
4616937,0,39,39
4616942,0,39,39
4616954,0,39,39
4616961,0,39,39
4616962,0,39,39
5045713,0,39,39
5068198,0,39,39
5109485,0,39,39
5159539,0,39,39
5165037,0,39,39
5169045,0,39,39
5174603,0,39,39
5799509,0,39,39
5799523,0,39,39
2127340,0,38,38
2127341,0,38,38
2127343,0,38,38
2127345,0,38,38
2127348,0,38,38
2127357,0,38,38
2127398,0,38,38
2127738,0,38,38
3056252,0,38,38
3413740,0,38,38
3413749,0,38,38
4168452,0,38,38
4539540,0,38,38
4541527,0,38,38
4596292,0,38,38
4611191,0,38,38
4616910,0,38,38
4616924,0,38,38
4616925,0,38,38
4616926,0,38,38
4616927,0,38,38
4616939,0,38,38
5022669,0,38,38
5109468,0,38,38
5148709,0,38,38
5148710,0,38,38
5148717,0,38,38
5148862,0,38,38
5157664,0,38,38
5157827,0,38,38
5157828,0,38,38
5157831,0,38,38
5158272,0,38,38
5164594,0,38,38
5166479,0,38,38
5166848,0,38,38
5169015,0,38,38
5169016,0,38,38
5169901,0,38,38
5171984,0,38,38
1075697,0,37,37
1795044,0,37,37
2124624,0,37,37
2127339,0,37,37
2127397,0,37,37
2127399,0,37,37
2129273,0,37,37
3009227,0,37,37
3426011,0,37,37
4008506,0,37,37
4149155,0,37,37
4170192,0,37,37
4213063,0,37,37
4587323,0,37,37
4596132,0,37,37
4596556,0,37,37
4596557,0,37,37
4607422,0,37,37
4607764,0,37,37
4607883,0,37,37
4615984,0,37,37
5003023,0,37,37
5017365,0,37,37
5082355,0,37,37
5084328,0,37,37
5087217,0,37,37
5148694,0,37,37
5148695,0,37,37
5148697,0,37,37
5148701,0,37,37
5148707,0,37,37
5148718,0,37,37
5148779,0,37,37
5148780,0,37,37
5148861,0,37,37
5157666,0,37,37
5157829,0,37,37
5157830,0,37,37
5158269,0,37,37
5158270,0,37,37
5158271,0,37,37
5159211,0,37,37
5164238,0,37,37
5164396,0,37,37
5164593,0,37,37
5164833,0,37,37
5165171,0,37,37
5166271,0,37,37
5166473,0,37,37
5166478,0,37,37
5166488,0,37,37
5166657,0,37,37
5169336,0,37,37
2124435,0,36,36
2127452,0,36,36
3061479,0,36,36
3150668,0,36,36
3398556,0,36,36
3400391,0,36,36
3413750,0,36,36
3416124,0,36,36
3418407,0,36,36
3421586,0,36,36
3422922,0,36,36
3425142,0,36,36
