bin,doitt_id,created_date,last_edited_date,height_roof,planimetrics_height,height_difference
5142138,1286791,2018-09-19,2021-06-07,32.00000000,30.63076619,1.36923381
5142133,1286799,2018-09-19,2021-06-07,31.00000000,35.96352151,4.96352151
5172074,1294643,2021-06-08,2021-06-08,8.00000000,11.38988478,3.38988478
5171129,1291362,2019-11-26,2021-06-10,35.00000000,35.76514968,0.76514968
5163939,1294282,2021-04-16,2021-06-11,11.00000000,7.53474984,3.46525016
5174898,1294685,2021-06-15,2021-06-15,10.00000000,13.78085546,3.78085546
5174620,1294682,2021-06-14,2021-06-14,12.00000000,13.32930291,1.32930291
5174621,1294684,2021-06-14,2021-06-14,35.00000000,31.79425705,3.20574295
5169972,1294736,2021-06-17,2021-06-17,30.00000000,34.41953688,4.41953688
5174608,1294748,2021-06-18,2021-06-18,34.00000000,35.74031026,1.74031026
5171978,1285953,2018-08-02,2021-06-25,25.00000000,37.24289199,12.24289199
5170731,1295336,2021-09-08,2021-09-08,33.00000000,34.84259532,1.84259532
5167963,1294978,2021-07-20,2021-07-20,29.00000000,30.26837994,1.26837994
5158986,1282562,2017-10-04,2023-02-03,60.00000000,62.88192906,2.88192906
5126612,1285697,2018-07-13,2019-01-24,26.08000000,25.60092391,0.47907609
5171293,1287743,2018-11-23,2019-01-22,44.00000000,40.89882797,3.10117203
5171294,1287744,2018-11-23,2019-01-22,44.00000000,40.89882797,3.10117203
5170518,1294995,2021-07-21,2021-07-21,32.00000000,29.28991634,2.71008366
5048550,1295002,2021-07-21,2021-07-21,35.00000000,36.04857880,1.04857880
5169281,1295149,2021-08-17,2023-07-26,31.00000000,29.30853774,1.69146226
5171732,1294662,2021-06-14,2021-08-02,34.00000000,36.32686175,2.32686175
5171832,1295193,2021-08-20,2021-08-20,27.00000000,34.22386140,7.22386140
5171833,1295191,2021-08-20,2021-08-20,27.00000000,34.44434205,7.44434205
5108679,1294464,2021-05-15,2021-08-19,13.22000000,17.87607964,4.65607964
5158365,1294489,2021-05-18,2024-02-08,29.92911356,30.91042517,0.98131161
5159479,1294493,2021-05-18,2021-05-18,34.96776757,34.27838169,0.68938588
5166582,1294522,2021-05-19,2021-05-19,27.00000000,31.97074400,4.97074400
5167255,1294510,2021-05-18,2021-05-18,32.00000000,35.07566784,3.07566784
5169522,1294521,2021-05-19,2021-05-19,24.00000000,24.51371728,0.51371728
5171916,1294513,2021-05-19,2021-05-19,28.00000000,32.87648783,4.87648783
5171132,1293611,2020-12-11,2020-12-11,32.00000000,41.29635266,9.29635266
5170209,1293648,2020-12-23,2020-12-23,12.00000000,8.51755980,3.48244020
5057298,1293671,2020-12-29,2020-12-29,31.00000000,34.17420825,3.17420825
