bin,oti_height_roof,planimetrics_height_roof,planimetrics_spot_height_calc,decision
2117694,131,93,102,
3055642,14,54,55,
3062298,37,76,74,
4430918,31,70,52,
1056590,57,96,91,
3335261,158,120,123,
1001444,96,135,137,
3120053,15,54,54,
3069592,42,81,83,
3009288,15,53,39,
3419753,26,66,66,
3062559,16,55,57,
3119670,36,74,74,
3108602,25,63,64,
4000366,17,55,58,
3187759,19,57,56,
3083379,26,64,44,
3423973,12,50,52,
4617767,78,41,38,
3048883,18,56,55,
3396769,23,61,60,
3425729,310,348,344,
3077043,16,54,58,
3322037,178,140,138,
3061728,15,53,55,
3036431,24,61,64,
3043197,29,67,40,
1001113,219,257,254,
3426805,78,40,42,
3069834,18,57,52,
4541435,12,50,55,
3423974,12,50,52,
3022410,22,60,62,
3108599,25,63,64,
3053921,13,51,52,
4081945,13,51,49,
3421430,68,107,110,
3051322,16,55,57,
3018119,28,65,61,
3140172,27,65,66,
3012030,27,64,65,
1091605,250,288,288,
5169720,14,52,54,
3338749,49,87,87,
4286150,18,56,57,
1085949,84,47,48,
3140597,22,58,58,
3110761,27,64,66,
4010134,27,64,65,
3135131,30,67,71,
3067856,15,52,51,
3023038,15,53,56,
3068769,37,74,77,
3336719,44,81,71,
3007911,29,66,64,
3108519,25,63,63,
3015503,34,71,69,
3064788,25,62,62,
3108518,26,63,63,
3062558,16,53,56,
3426806,78,41,44,
3337795,42,79,77,
4220565,12,49,47,
3399043,14,51,52,
4618575,154,191,177,
3423972,12,50,52,
4569136,10,47,17,
3063052,17,54,57,
3110774,25,62,63,
3072696,21,58,59,
2007561,41,77,80,
3338648,38,74,75,
4014521,18,54,52,
5141698,72,37,38,
3418187,202,239,238,
3036430,24,59,59,
3013735,28,64,61,
1001331,39,75,75,
3037151,26,61,65,
4222137,51,88,89,
1001381,90,55,52,
4438805,17,53,52,
3005992,37,73,70,
4214599,120,84,85,
3076856,26,62,63,
3171719,39,75,74,
3024701,43,79,81,
2003421,21,58,51,
3070059,16,52,56,
3014409,30,66,68,
3116897,38,74,71,
3015895,25,61,61,
3421880,70,107,102,
3426300,511,548,532,
3039829,15,51,53,
3069988,17,53,56,
4280773,18,53,29,
3121396,162,126,130,
3070294,19,55,55,
3048323,20,56,61,
3425049,435,471,468,
1003853,67,103,106,
3054941,36,72,72,
3015367,40,75,73,
3119072,24,59,59,
4000469,33,67,69,
4282981,23,58,31,
3425105,32,68,64,
3331741,66,101,101,
3069386,19,53,56,
3139494,26,62,61,
3116661,320,286,289,
1080499,85,51,47,
3324218,12,47,48,
3139567,26,61,60,
1090655,80,116,116,
3171322,24,59,61,
3052413,14,49,51,
3116794,27,62,63,
3002063,16,51,53,
1007981,30,65,65,
3000819,70,35,36,
3425660,209,245,243,
4112158,21,56,50,
1090636,265,301,283,
4115149,20,55,56,
3076154,24,59,58,
3426645,250,285,285,
3140548,25,61,60,
3425676,225,260,246,
3140182,25,58,58,
3139244,24,58,59,
3139228,16,50,51,
4008616,21,55,59,
3074306,37,71,74,
4287039,22,56,35,
4513932,10,43,14,
3072218,22,56,58,
3413739,122,156,159,
3068481,23,57,58,
3140867,29,63,58,
4282941,21,55,27,
3393841,12,46,48,
3033150,25,59,62,
4514147,11,44,16,
3116844,24,58,58,
4282984,22,56,31,
5164932,85,51,55,
4528371,10,45,16,
3012911,45,80,82,
4542152,278,312,291,
3345993,46,80,82,
3021053,33,67,70,
4262826,12,46,28,
3033569,56,91,87,
4081940,13,48,46,
3033152,23,57,60,
3060516,15,48,49,
4282683,21,55,26,
3073928,13,47,49,
3099632,27,61,60,
3036604,25,59,62,
4610366,16,50,28,
5171223,71,37,37,
1086172,340,374,379,
2016537,29,62,71,
3139235,26,59,61,
3251744,30,64,61,
3424517,351,385,383,
2115860,9,42,41,
3139869,24,58,54,
3116795,27,60,63,
4283869,22,55,30,
3063616,16,49,50,
3072490,16,48,49,
3139795,29,63,59,
3015075,31,64,64,
3338425,29,62,63,
3069330,37,70,72,
3139539,29,62,63,
4257462,18,50,31,
3077756,26,60,62,
1007803,49,16,17,
1007803,49,16,46,
4283874,22,56,30,
4282825,22,55,29,
5169599,25,58,41,
1001363,75,107,104,
3006581,22,55,53,
