bin,planimetrics_height,planimetrics_spot_height_calc,height_diff
3426482,46,46,1
3426280,54,55,2
3426472,16,18,2
3398296,28,29,1
3398302,28,28,1
3398310,28,31,3
3398247,28,28,1
3398255,28,29,1
3398270,27,29,2
3398325,27,29,2
3398327,28,29,2
3398329,28,29,2
3398330,28,29,2
3398277,29,29,1
3398282,29,31,2
3398283,30,31,2
3398284,30,31,2
3034838,81,79,3
3168526,40,41,2
3421647,57,54,4
3403059,46,48,2
3421384,32,33,1
3426593,91,84,8
3136390,49,49,1
3414216,51,51,1
3414215,51,51,1
3414217,50,51,2
3425073,58,56,3
3424730,48,44,5
3056277,55,55,1
3222300,19,17,2
3398258,59,58,1
3428624,63,56,7
3398251,60,61,1
3400572,50,51,2
3400571,50,51,2
3400565,49,51,3
3399243,29,29,1
3399244,29,29,1
3418361,26,27,1
3404457,28,32,4
3399847,28,25,3
3425850,64,67,4
3418231,70,70,1
3054992,67,68,2
3248653,50,56,6
3426486,11,14,3
3425583,83,80,3
3413765,407,402,5
3425145,57,56,2
3425180,12,14,2
3426477,44,45,1
3422922,36,37,2
3425462,54,57,3
3008748,31,30,2
3422383,48,45,3
3060746,53,52,2
3015912,45,44,2
3040019,33,33,1
3329834,13,10,4
3042412,33,34,1
3399417,40,40,1
3425817,14,17,3
3425027,11,12,2
3335779,57,59,3
3412952,35,38,4
3034762,62,63,2
3398577,43,43,1
3412823,64,59,6
3421828,69,69,1
3418148,81,83,2
3424214,33,32,1
3380054,16,18,3
3414224,30,31,1
3400722,118,120,2
3000027,59,59,1
3125923,45,47,2
3397932,49,49,1
3425359,33,34,1
3398297,28,29,1
3398306,28,30,2
3398254,28,29,2
3398266,27,28,1
3398268,27,29,2
3398274,29,29,1
3398276,29,29,1
3326367,57,54,3
3078582,49,50,2
3426914,13,14,1
3426859,86,85,2
3429218,75,76,1
3403058,46,48,3
3424255,47,48,2
3421476,67,65,3
3396814,77,72,5
3426973,49,51,3
3424206,64,63,2
3003198,61,63,3
3424127,57,53,4
3426290,68,69,1
3425003,48,48,1
3425354,57,57,1
3425151,79,72,7
3418166,73,75,3
3404864,35,36,1
3425017,63,65,2
3425996,55,52,4
3421405,20,20,1
3400568,49,51,2
3418211,41,41,1
3418363,26,30,4
3426489,55,54,2
3424373,31,33,2
3251772,44,46,2
3425584,83,79,4
3425264,19,22,4
3395112,33,34,1
3413435,50,52,3
3413436,50,52,3
3345540,27,28,1
3400412,41,44,3
3414351,32,32,1
3209676,34,36,2
