bin,oti_height_roof,planimetrics_height_roof,height_difference,planimetrics_spot_height_calc,planimetrics_height_range
3073926,14,53,39,50,4
3337602,78,39,39,40,1
3038324,27,66,39,68,3
3138499,26,65,39,64,1
3412955,13,52,39,50,3
3108600,25,64,39,64,1
3409021,13,52,39,53,1
1090808,135,174,39,175,1
3028553,15,54,39,47,7
4542200,28,67,39,67,1
1090446,135,175,39,170,5
3120590,38,77,39,79,3
2117694,131,93,39,102,10
3055642,14,54,39,55,2
3062298,37,76,39,74,2
4430918,31,70,39,52,18
1056590,57,96,39,91,6
3335261,158,120,39,123,4
1001444,96,135,39,137,2
3120053,15,54,39,54,1
3069592,42,81,39,83,3
3009288,15,53,39,39,14
3419753,26,66,39,66,1
3062559,16,55,39,57,3
3119670,36,74,38,74,1
3108602,25,63,38,64,1
4000366,17,55,38,58,3
3187759,19,57,38,56,2
3083379,26,64,38,44,20
3423973,12,50,38,52,2
4617767,78,41,38,38,3
3048883,18,56,38,55,2
3396769,23,61,38,60,2
3425729,310,348,38,344,4
3077043,16,54,38,58,5
3322037,178,140,38,138,3
3061728,15,53,38,55,3
3036431,24,61,38,64,4
3043197,29,67,38,40,27
1001113,219,257,38,254,3
3426805,78,40,38,42,2
3069834,18,57,38,52,6
4541435,12,50,38,55,6
3423974,12,50,38,52,2
3022410,22,60,38,62,2
3108599,25,63,38,64,1
3053921,13,51,38,52,1
4081945,13,51,38,49,2
3421430,68,107,38,110,3
3051322,16,55,38,57,3
3018119,28,65,38,61,5
3140172,27,65,38,66,1
3012030,27,64,38,65,1
1091605,250,288,38,288,1
5169720,14,52,38,54,2
3338749,49,87,38,87,1
4286150,18,56,38,57,1
1085949,84,47,37,48,1
3140597,22,58,37,58,1
3110761,27,64,37,66,2
4010134,27,64,37,65,2
3135131,30,67,37,71,4
3067856,15,52,37,51,1
3023038,15,53,37,56,4
3068769,37,74,37,77,3
3336719,44,81,37,71,10
3007911,29,66,37,64,3
3108519,25,63,37,63,1
3015503,34,71,37,69,3
3064788,25,62,37,62,1
3108518,26,63,37,63,1
3062558,16,53,37,56,3
3426806,78,41,37,44,3
3337795,42,79,37,77,3
4220565,12,49,37,47,3
3399043,14,51,37,52,1
4618575,154,191,37,177,14
3423972,12,50,37,52,3
4569136,10,47,37,17,30
3063052,17,54,37,57,4
3110774,25,62,37,63,2
3072696,21,58,37,59,2
2007561,41,77,36,80,3
3338648,38,74,36,75,2
4014521,18,54,36,52,3
5141698,72,37,36,38,2
3418187,202,239,36,238,1
3036430,24,59,36,59,1
3013735,28,64,36,61,3
1001331,39,75,36,75,1
3037151,26,61,36,65,4
4222137,51,88,36,89,2
1001381,90,55,36,52,3
4438805,17,53,36,52,2
3005992,37,73,36,70,3
4214599,120,84,36,85,2
3076856,26,62,36,63,2
3171719,39,75,36,74,2
3024701,43,79,36,81,2
2003421,21,58,36,51,7
3070059,16,52,36,56,4
3014409,30,66,36,68,2
3116897,38,74,36,71,3
3015895,25,61,36,61,1
3421880,70,107,36,102,6
3426300,511,548,36,532,17
3039829,15,51,36,53,3
3069988,17,53,36,56,3
4280773,18,53,36,29,25
3121396,162,126,36,130,5
3070294,19,55,36,55,1
3048323,20,56,36,61,5
3425049,435,471,36,468,4
1003853,67,103,36,106,3
3054941,36,72,36,72,1
3015367,40,75,35,73,2
3119072,24,59,35,59,1
4000469,33,67,35,69,2
4282981,23,58,35,31,27
3425105,32,68,35,64,4
3331741,66,101,35,101,1
3069386,19,53,35,56,3
3139494,26,62,35,61,1
3116661,320,286,35,289,3
1080499,85,51,35,47,4
3324218,12,47,35,48,1
3139567,26,61,35,60,1
1090655,80,116,35,116,1
3171322,24,59,35,61,2
3052413,14,49,35,51,2
3116794,27,62,35,63,1
3002063,16,51,35,53,2
1007981,30,65,35,65,1
3000819,70,35,35,36,1
3425660,209,245,35,243,3
4112158,21,56,35,50,6
1090636,265,301,35,283,18
4115149,20,55,35,56,2
3076154,24,59,35,58,2
3426645,250,285,35,285,1
3140548,25,61,35,60,1
3425676,225,260,35,246,15
3140182,25,58,34,58,1
3139244,24,58,34,59,2
3139228,16,50,34,51,2
4008616,21,55,34,59,5
3074306,37,71,34,74,3
4287039,22,56,34,35,21
4513932,10,43,34,14,30
3072218,22,56,34,58,3
3413739,122,156,34,159,3
3068481,23,57,34,58,1
3140867,29,63,34,58,5
4282941,21,55,34,27,29
3393841,12,46,34,48,2
3033150,25,59,34,62,3
4514147,11,44,34,16,29
3116844,24,58,34,58,1
4282984,22,56,34,31,26
5164932,85,51,34,55,4
4528371,10,45,34,16,29
3012911,45,80,34,82,2
4542152,278,312,34,291,22
3345993,46,80,34,82,2
3021053,33,67,34,70,3
4262826,12,46,34,28,18
3033569,56,91,34,87,4
4081940,13,48,34,46,3
3033152,23,57,34,60,3
3060516,15,48,34,49,2
4282683,21,55,34,26,30
3073928,13,47,34,49,3
3099632,27,61,34,60,1
3036604,25,59,34,62,4
4610366,16,50,34,28,22
5171223,71,37,34,37,1
1086172,340,374,33,379,6
2016537,29,62,33,71,10
3139235,26,59,33,61,3
3251744,30,64,33,61,3
3424517,351,385,33,383,3
2115860,9,42,33,41,2
3139869,24,58,33,54,4
3116795,27,60,33,63,3
4283869,22,55,33,30,26
3063616,16,49,33,50,1
3072490,16,48,33,49,1
3139795,29,63,33,59,4
3015075,31,64,33,64,1
3338425,29,62,33,63,2
3069330,37,70,33,72,2
3139539,29,62,33,63,1
4257462,18,50,33,31,20
3077756,26,60,33,62,3
1007803,49,16,33,17,2
1007803,49,16,33,46,30
4283874,22,56,33,30,27
4282825,22,55,33,29,26
5169599,25,58,33,41,18
1001363,75,107,33,104,4
3006581,22,55,33,53,3
3116785,26,59,33,62,3
3420448,12,46,33,48,3
3136911,34,66,33,64,3
3056374,22,54,33,54,1
4569134,12,46,33,17,29
4611564,11,44,33,14,30
4006367,14,48,33,48,1
3152412,27,59,33,55,4
4311413,11,44,33,44,1
3136233,26,59,33,62,4
3397404,42,75,33,75,1
3054940,37,70,33,66,4
3014473,25,58,33,60,2
3400453,70,37,33,40,4
4596553,5,38,33,40,2
4280470,18,50,33,29,21
3331875,50,84,33,82,2
3425307,52,19,33,18,1
3062852,24,58,33,60,3
3426628,44,12,33,13,2
5159799,45,12,33,4,8
3009551,16,50,33,49,1
3335661,42,74,33,77,3
1090436,119,153,33,155,3
1090379,203,237,33,228,9
3116845,24,58,33,58,1
3036341,25,58,33,61,4
3424485,48,14,33,16,2
5151695,58,26,33,26,1
5170475,14,47,33,50,4
3071406,15,48,33,49,1
3143434,26,59,33,58,1
4593579,10,43,33,18,25
4000364,23,56,33,55,1
4112155,20,53,33,53,1
4609754,11,44,33,42,3
3426547,17,50,33,50,1
3425961,153,187,33,165,22
3083572,23,56,33,59,4
4508847,12,45,33,21,24
4010601,26,59,33,57,2
1090678,60,94,33,85,10
3023592,27,61,33,60,1
3205923,26,60,33,61,2
4282942,22,55,33,27,29
3140584,25,56,32,57,1
4538555,13,45,32,29,16
2001588,29,60,32,59,2
1091671,637,606,32,609,3
3140611,24,56,32,56,1
3039625,46,78,32,79,1
3338204,32,64,32,69,6
3108554,28,60,32,60,1
2127841,15,46,32,45,2
4009030,29,61,32,63,2
4116395,23,55,32,52,4
3069573,41,73,32,69,5
4513680,9,41,32,17,24
3069342,27,59,32,56,4
3426640,70,39,32,42,4
1090803,265,297,32,295,3
4439623,45,77,32,80,3
1013986,37,68,32,67,2
3140610,24,57,32,58,2
4283838,26,58,32,28,30
1090512,479,448,32,447,1
4542654,85,53,32,69,16
3425166,46,79,32,81,2
3032636,35,67,32,70,3
3076864,26,58,32,59,2
4288267,19,51,32,33,19
4615474,9,41,32,13,29
3055241,26,58,32,59,1
3019570,16,48,32,48,1
3051211,27,60,32,62,3
3056359,25,57,32,55,3
3330858,12,44,32,44,1
3065591,62,30,32,29,1
3033119,26,58,32,58,1
3000675,33,65,32,64,1
3325867,22,54,32,56,2
3072493,26,58,32,61,3
3116776,26,58,32,60,2
4282980,23,54,32,28,27
4112156,19,50,32,49,2
4280624,21,53,32,33,21
4280770,24,56,32,33,23
2129297,55,24,32,35,11
4195371,12,44,32,45,1
4115159,19,51,32,48,4
4513918,10,42,32,20,23
4542024,11,44,32,36,8
4619357,72,104,32,96,9
2129202,55,87,32,81,7
3030859,30,61,32,63,2
3070148,26,58,32,59,2
4060983,15,47,32,45,2
4596156,163,131,32,132,1
3322370,13,44,31,44,1
3002826,32,63,31,63,1
3428715,364,395,31,396,1
1060648,41,72,31,69,4
3069497,17,48,31,51,4
4287056,17,48,31,27,22
4569327,9,40,31,14,26
4280932,20,51,31,28,24
4037077,22,53,31,25,29
4280937,18,49,31,28,21
3006577,28,59,31,55,5
4042655,26,57,31,58,2
3396880,32,64,31,61,3
4435065,12,43,31,16,27
4542032,93,125,31,125,1
4287568,17,48,31,31,17
3120556,36,67,31,68,2
3043058,65,35,31,33,2
3387565,48,17,31,19,2
3140181,25,56,31,56,1
3139887,26,57,31,57,1
3082509,26,57,31,58,2
3014070,30,61,31,62,2
3140229,24,56,31,57,2
3140274,26,57,31,58,2
3329825,119,150,31,142,9
4081137,25,56,31,53,4
1060647,41,72,31,69,3
3007333,23,55,31,55,1
3414031,75,45,31,47,3
4513676,13,44,31,19,25
4004807,14,45,31,45,1
1090635,162,193,31,182,12
2023352,34,65,31,67,2
3038353,33,64,31,70,6
3129630,39,70,31,59,11
3332279,25,56,31,56,1
3049589,37,68,31,70,3
4282880,23,54,31,30,24
4610564,64,33,31,31,3
3397052,34,66,31,66,1
3138463,28,59,31,56,3
4534092,44,76,31,78,3
3422087,392,424,31,429,6
3072195,21,52,31,50,2
4082408,15,46,31,47,2
1090832,900,869,31,862,8
3062260,26,56,31,54,3
4006942,32,63,31,66,4
1090200,147,179,31,152,27
2057805,27,59,31,59,1
3031519,37,68,31,68,1
3011860,19,51,31,49,2
3029556,46,77,31,80,3
3125881,31,61,31,64,3
3044670,26,57,31,56,1
3072699,25,55,31,51,5
3139497,27,58,31,58,1
4287092,18,49,31,29,21
3073780,30,61,31,59,2
3332121,17,48,31,48,1
3140223,24,55,31,56,1
3342327,24,55,31,55,1
4116381,15,46,31,49,4
4010639,26,57,31,52,6
4112157,20,51,31,49,2
4514003,13,45,31,21,24
3425456,83,115,31,117,3
2127430,42,73,31,51,23
3135552,26,56,31,55,2
4795033,62,32,31,50,19
3328125,28,58,30,60,2
3073991,27,58,30,58,1
4007479,33,63,30,63,1
4116369,26,56,30,59,3
3139180,27,57,30,59,2
4282946,22,52,30,27,26
3143795,29,59,30,58,2
3005722,36,67,30,68,2
1054873,32,63,30,64,1
3140544,25,55,30,59,5
4593363,19,49,30,24,26
2092092,42,72,30,71,1
4037469,33,63,30,65,3
3100923,28,58,30,59,1
4283092,22,52,30,31,22
4538351,19,50,30,45,6
4508539,10,40,30,13,28
1060740,18,48,30,48,1
3135186,25,56,30,57,2
3023671,32,62,30,61,2
3137563,28,58,30,60,2
3033146,25,56,30,58,3
3423608,49,79,30,80,1
3139179,27,57,30,58,1
3071878,31,62,30,58,4
3139948,25,56,30,59,3
4026844,17,48,30,19,29
2011743,25,55,30,56,1
2011742,26,56,30,56,1
4101069,10,41,30,39,2
4115121,18,48,30,49,2
1013789,41,71,30,65,7
3061289,18,49,30,49,1
4287052,21,51,30,31,21
4116376,25,55,30,61,7
1003795,155,186,30,186,1
3014448,29,59,30,59,1
3243433,10,40,30,42,2
3044592,19,50,30,50,1
2010360,41,11,30,8,3
3426432,24,55,30,51,5
3138353,14,45,30,46,2
3061631,33,63,30,65,2
4614485,12,42,30,16,26
